[0. 0. 0. 0. 0. 0.][2. 1. 0. 1. 0. 1.][0. 0. 0. 1. 0. 1.],120.0
[0. 0. 0. 0. 0. 0.][2. 1. 0. 1. 0. 1.][2. 1. 0. 0. 0. 0.],6.0
[0. 0. 0. 0. 0. 0.][2. 1. 0. 1. 0. 1.][2. 0. 0. 1. 0. 0.],6.0
[0. 0. 0. 0. 0. 0.][2. 1. 0. 1. 0. 1.][2. 0. 0. 0. 0. 1.],6.0
[0. 0. 0. 0. 0. 0.][2. 1. 0. 1. 0. 1.][1. 1. 0. 1. 0. 0.],1348.0
[0. 0. 0. 0. 0. 0.][2. 1. 0. 1. 0. 1.][1. 1. 0. 0. 0. 1.],7.0
[0. 0. 0. 0. 0. 0.][2. 1. 0. 1. 0. 1.][1. 0. 0. 1. 0. 1.],46.0
[0. 0. 0. 0. 0. 0.][2. 1. 0. 1. 0. 1.][0. 1. 0. 1. 0. 1.],2381.0
[0. 0. 0. 0. 0. 0.][2. 1. 0. 1. 0. 1.][2. 1. 0. 1. 0. 0.],7.0
[0. 0. 0. 0. 0. 0.][2. 1. 0. 1. 0. 1.][2. 1. 0. 0. 0. 1.],4.0
[0. 0. 0. 0. 0. 0.][2. 1. 0. 1. 0. 1.][2. 0. 0. 1. 0. 1.],6.0
[0. 0. 0. 0. 0. 0.][2. 1. 0. 1. 0. 1.][1. 1. 0. 1. 0. 1.],590.0
[0. 0. 0. 0. 0. 0.][2. 1. 0. 1. 0. 1.][2. 1. 0. 1. 0. 1.],0.0
[2. 0. 0. 0. 0. 0.][0. 0. 0. 2. 0. 1.][0. 0. 0. 0. 0. 0.],0.0
[2. 0. 0. 0. 0. 0.][0. 0. 0. 2. 0. 1.][0. 0. 0. 1. 0. 0.],2.0
[2. 0. 0. 0. 0. 0.][0. 0. 0. 2. 0. 1.][0. 0. 0. 0. 0. 1.],0.0
[2. 0. 0. 0. 0. 0.][0. 0. 0. 2. 0. 1.][0. 0. 0. 2. 0. 0.],0.0
[2. 0. 0. 0. 0. 0.][0. 0. 0. 2. 0. 1.][0. 0. 0. 1. 0. 1.],0.0
[2. 0. 0. 0. 0. 0.][0. 0. 0. 2. 0. 1.][0. 0. 0. 2. 0. 1.],0.0
[0. 0. 0. 0. 0. 0.][1. 0. 1. 0. 1. 2.][0. 0. 0. 0. 0. 0.],363.0
[0. 0. 0. 0. 0. 0.][1. 0. 1. 0. 1. 2.][1. 0. 0. 0. 0. 0.],19.0
[0. 0. 0. 0. 0. 0.][1. 0. 1. 0. 1. 2.][0. 0. 1. 0. 0. 0.],146.0
[0. 0. 0. 0. 0. 0.][1. 0. 1. 0. 1. 2.][0. 0. 0. 0. 1. 0.],73.0
[0. 0. 0. 0. 0. 0.][1. 0. 1. 0. 1. 2.][0. 0. 0. 0. 0. 1.],50.0
[0. 0. 0. 0. 0. 0.][1. 0. 1. 0. 1. 2.][1. 0. 1. 0. 0. 0.],162.0
[0. 0. 0. 0. 0. 0.][1. 0. 1. 0. 1. 2.][1. 0. 0. 0. 1. 0.],4.0
[0. 0. 0. 0. 0. 0.][1. 0. 1. 0. 1. 2.][1. 0. 0. 0. 0. 1.],16.0
[0. 0. 0. 0. 0. 0.][1. 0. 1. 0. 1. 2.][0. 0. 1. 0. 1. 0.],995.0
[0. 0. 0. 0. 0. 0.][1. 0. 1. 0. 1. 2.][0. 0. 1. 0. 0. 1.],98.0
[0. 0. 0. 0. 0. 0.][1. 0. 1. 0. 1. 2.][0. 0. 0. 0. 1. 1.],693.0
[0. 0. 0. 0. 0. 0.][1. 0. 1. 0. 1. 2.][0. 0. 0. 0. 0. 2.],27.0
[0. 0. 0. 0. 0. 0.][1. 0. 1. 0. 1. 2.][1. 0. 1. 0. 1. 0.],0.0
[0. 0. 0. 0. 0. 0.][1. 0. 1. 0. 1. 2.][1. 0. 1. 0. 0. 1.],55.0
[0. 0. 0. 0. 0. 0.][1. 0. 1. 0. 1. 2.][1. 0. 0. 0. 1. 1.],6.0
[0. 0. 0. 0. 0. 0.][1. 0. 1. 0. 1. 2.][1. 0. 0. 0. 0. 2.],8.0
[0. 0. 0. 0. 0. 0.][1. 0. 1. 0. 1. 2.][0. 0. 1. 0. 1. 1.],4452.0
[0. 0. 0. 0. 0. 0.][1. 0. 1. 0. 1. 2.][0. 0. 1. 0. 0. 2.],35.0
[0. 0. 0. 0. 0. 0.][1. 0. 1. 0. 1. 2.][0. 0. 0. 0. 1. 2.],95.0
[0. 0. 0. 0. 0. 0.][1. 0. 1. 0. 1. 2.][1. 0. 1. 0. 1. 1.],506.0
