Average Reward,Percentage of correct action
1.673755385398093,0.73011
3.335901576467196,0.99773
2.968853243999969,0.67987
2.487488653075883,0.84813
2.650618117418528,0.99967
4.748523019637856,0.97372
3.2600114526842896,0.98993
1.585257104268159,0.99367
2.2984287431951604,0.03528
2.2300071055703214,0.99769
3.5202554561919945,0.04026
2.576435540712469,0.79136
2.93756094705063,0.9905
3.018697326978322,0.96897
4.37712742970083,0.99782
1.2312059456553375,0.71864
4.224090050605456,0.99103
2.3405913970301806,0.97978
3.0223779255225462,0.88153
3.2354107280328153,0.99558
1.852864044673813,0.99753
2.6099622224645516,0.99873
4.7902463256287175,0.99899
4.394974514409299,0.99916
3.9721396027131357,0.99951
1.8373512762366955,0.92752
